Date : 2022-03-19 19:49:08
Directory : c:\Users\lukas\Desktop\Game\src
Total : 94 files,  4724 codes, 41 comments, 1081 blanks, all 5846 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         92 |      4,674 |         40 |      1,068 |      5,782 |
| Python   |          2 |         50 |          1 |         13 |         64 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |         94 |      4,724 |         41 |      1,081 |      5,846 |
| characters                                                                  |          7 |        516 |          3 |        126 |        645 |
| gui                                                                         |          7 |        372 |         18 |        107 |        497 |
| gui\game                                                                    |          1 |         60 |          0 |         15 |         75 |
| gui\util                                                                    |          1 |         62 |          0 |         23 |         85 |
| gui\widgets                                                                 |          3 |        196 |         18 |         53 |        267 |
| old_tiles                                                                   |         62 |      1,626 |          1 |        357 |      1,984 |
| rendering                                                                   |          8 |        259 |          2 |         67 |        328 |
| sound                                                                       |          1 |         31 |          0 |         12 |         43 |
| tiles                                                                       |          4 |        662 |          1 |        169 |        832 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\lukas\Desktop\Game\src\ControlWindow.java                          | Java     |        208 |          1 |         33 |        242 |
| c:\Users\lukas\Desktop\Game\src\DungeonMaster.java                          | Java     |        524 |         11 |        110 |        645 |
| c:\Users\lukas\Desktop\Game\src\TileEditor.java                             | Java     |        158 |          1 |         23 |        182 |
| c:\Users\lukas\Desktop\Game\src\TileMapWindow.java                          | Java     |        247 |          2 |         52 |        301 |
| c:\Users\lukas\Desktop\Game\src\TileSelectorWindow.java                     | Java     |        121 |          1 |         25 |        147 |
| c:\Users\lukas\Desktop\Game\src\characters\BigZombie.java                   | Java     |         81 |          0 |         17 |         98 |
| c:\Users\lukas\Desktop\Game\src\characters\Character.java                   | Java     |        208 |          1 |         55 |        264 |
| c:\Users\lukas\Desktop\Game\src\characters\CharacterFactory.java            | Java     |         19 |          2 |          3 |         24 |
| c:\Users\lukas\Desktop\Game\src\characters\Knight.java                      | Java     |         24 |          0 |          8 |         32 |
| c:\Users\lukas\Desktop\Game\src\characters\Skelet.java                      | Java     |         80 |          0 |         17 |         97 |
| c:\Users\lukas\Desktop\Game\src\characters\TinyZombie.java                  | Java     |         80 |          0 |         17 |         97 |
| c:\Users\lukas\Desktop\Game\src\characters\Wizard.java                      | Java     |         24 |          0 |          9 |         33 |
| c:\Users\lukas\Desktop\Game\src\gui\Settings.java                           | Java     |         10 |          0 |          2 |         12 |
| c:\Users\lukas\Desktop\Game\src\gui\Window.java                             | Java     |         44 |          0 |         14 |         58 |
| c:\Users\lukas\Desktop\Game\src\gui\game\HealthIndicator.java               | Java     |         60 |          0 |         15 |         75 |
| c:\Users\lukas\Desktop\Game\src\gui\util\FontManager.java                   | Java     |         62 |          0 |         23 |         85 |
| c:\Users\lukas\Desktop\Game\src\gui\widgets\CheckBox.java                   | Java     |         57 |          0 |         15 |         72 |
| c:\Users\lukas\Desktop\Game\src\gui\widgets\Label.java                      | Java     |         67 |         18 |         17 |        102 |
| c:\Users\lukas\Desktop\Game\src\gui\widgets\TriangleButton.java             | Java     |         72 |          0 |         21 |         93 |
| c:\Users\lukas\Desktop\Game\src\old_tiles\BlueBannerWallTile.java           | Java     |         16 |          0 |          4 |         20 |
